order_id,customer_id,order_date,status,region_code
1,414,2024-01-15 20:30:39,DELIVERED,SOUTH
2,23,2025-04-03 00:40:16,PLACED,NORTH
3,262,2025-08-22 01:08:08,PLACED,NORTH
4,21,2024-02-07 11:09:59,DELIVERED,WEST
5,259,2025-01-03 11:23:19,SHIPPED,NORTH
6,104,2025-05-29 13:34:39,DELIVERED,SOUTH
7,108,2025-02-01 08:37:53,PLACED,NORTH
8,510,2024-06-03 07:02:31,DELIVERED,CENTRAL
9,367,2025-06-30 09:00:41,SHIPPED,CENTRAL
10,213,2025-06-18 13:03:02,DELIVERED,NORTH
11,,2024-03-10 03:07:59,CANCELLED,WEST
12,93,2025-08-28 11:25:19,DELIVERED,NORTH
13,237,2024-12-20 18:27:36,SHIPPED,WEST
14,179,09-11-2025,SHIPPED,EAST
15,119,2024-03-14 18:53:59,CANCELLED,NORTH
16,175,2024-09-12 06:40:54,DELIVERED,CENTRAL
17,96,2024-10-16 10:10:49,SHIPPED,WEST
18,468,2024-07-30 03:20:09,DELIVERED,WEST
19,171,2024-03-28 19:31:37,DELIVERED,SOUTH
20,495,2025-09-15 03:17:58,DELIVERED,CENTRAL
21,368,19-04-2025,DELIVERED,SOUTH
22,500,2024-03-28 17:18:25,DELIVERED,NORTH
23,322,2024-01-10 14:24:39,DELIVERED,CENTRAL
24,230,2025-06-04 06:48:13,DELIVERED,CENTRAL
25,255,2025-01-09 07:49:13,DELIVERED,WEST
26,56,2024-01-10 01:04:33,SHIPPED,WEST
27,170,2024-02-28 03:35:21,DELIVERED,EAST
28,52,2025-01-28 17:50:51,DELIVERED,WEST
29,81,2024-12-22 14:08:36,DELIVERED,NORTH
30,458,2024-09-02 11:48:50,DELIVERED,NORTH
31,423,2024-01-28 19:57:20,PLACED,NORTH
32,312,2025-11-22 08:52:11,SHIPPED,WEST
33,373,03-10-2025,SHIPPED,WEST
34,485,2025-07-10 15:28:28,DELIVERED,NORTH
35,228,2024-01-02 16:57:14,CANCELLED,EAST
36,383,2025-06-29 08:01:08,CANCELLED,WEST
37,420,2024-03-24 01:54:25,SHIPPED,NORTH
38,403,2024-06-16 10:52:46,DELIVERED,EAST
39,425,2024-02-06 02:49:46,CANCELLED,CENTRAL
40,462,2024-12-21 06:19:40,RETURNED,SOUTH
41,5,2025-02-15 22:42:28,DELIVERED,WEST
42,495,2025-12-18 23:31:19,RETURNED,SOUTH
43,178,2025-07-21 09:24:26,PLACED,CENTRAL
44,330,2025-01-26 13:17:37,DELIVERED,CENTRAL
45,255,2024-07-31 12:11:48,DELIVERED,EAST
46,137,2024-04-17 07:51:43,DELIVERED,CENTRAL
47,322,2025-07-06 22:17:59,DELIVERED,SOUTH
48,298,2025-06-17 07:21:44,DELIVERED,SOUTH
49,331,2025-07-05 17:56:04,DELIVERED,WEST
50,428,2025-06-07 16:48:34,CANCELLED,EAST
51,433,19-09-2025,PLACED,WEST
52,58,2024-06-04 06:27:04,DELIVERED,EAST
53,150,13-10-2025,DELIVERED,SOUTH
54,34,2024-10-05 14:19:30,PLACED,CENTRAL
55,399,2024-07-03 13:06:02,DELIVERED,EAST
56,49,2025-12-20 14:55:43,DELIVERED,EAST
57,56,2024-01-11 01:41:22,SHIPPED,WEST
58,377,2025-08-09 12:13:40,DELIVERED,SOUTH
59,199,2024-08-16 11:52:12,RETURNED,NORTH
60,178,2025-07-24 22:52:29,DELIVERED,WEST
61,271,2024-04-11 00:36:57,CANCELLED,NORTH
62,159,2024-02-01 00:32:47,DELIVERED,NORTH
63,309,2025-01-16 00:31:56,DELIVERED,NORTH
64,326,2025-02-12 02:04:26,SHIPPED,NORTH
65,164,2024-11-19 01:31:13,DELIVERED,EAST
66,219,2025-05-30 05:27:03,DELIVERED,SOUTH
67,544,2025-01-03 19:58:46,CANCELLED,NORTH
68,355,2024-12-12 03:50:22,DELIVERED,CENTRAL
69,41,2025-06-14 03:40:46,DELIVERED,NORTH
70,290,2024-01-20 04:32:53,CANCELLED,EAST
71,521,2024-12-12 01:46:57,SHIPPED,SOUTH
72,85,2024-03-15 12:45:27,RETURNED,CENTRAL
73,68,2024-06-12 17:15:05,DELIVERED,WEST
74,211,2025-02-21 16:27:54,CANCELLED,WEST
75,74,2025-08-03 03:03:14,PLACED,EAST
76,,26-02-2024,DELIVERED,CENTRAL
77,234,2025-12-08 14:01:14,DELIVERED,WEST
78,18,2024-10-29 12:50:27,DELIVERED,CENTRAL
79,47,2025-06-28 09:23:16,DELIVERED,CENTRAL
80,309,16-04-2025,DELIVERED,WEST
81,32,2025-01-03 03:46:14,SHIPPED,WEST
82,303,2025-05-07 11:28:04,DELIVERED,EAST
83,12,2025-03-05 22:26:19,PLACED,NORTH
84,,2025-04-08 10:27:11,DELIVERED,NORTH
85,353,2024-06-13 11:03:45,DELIVERED,CENTRAL
86,189,2024-06-20 11:47:09,SHIPPED,NORTH
87,56,2025-10-23 07:01:02,RETURNED,CENTRAL
88,75,2024-08-13 18:09:30,SHIPPED,SOUTH
89,499,2024-09-13 23:30:30,DELIVERED,SOUTH
90,72,2025-11-30 03:25:36,DELIVERED,EAST
91,314,2025-06-22 14:59:47,DELIVERED,EAST
92,439,10-05-2024,SHIPPED,SOUTH
93,447,2024-08-02 21:41:09,PLACED,EAST
94,474,2024-12-11 22:04:27,DELIVERED,CENTRAL
95,84,2025-10-15 20:09:31,CANCELLED,CENTRAL
96,79,19-07-2025,PLACED,CENTRAL
